3542 - 01,02,05,08,11,12,13,15,18,19,21,22,23,24,25
3541 - 01,02,03,04,06,08,13,14,16,17,18,19,21,23,25
3540 - 01,02,03,05,06,09,10,13,14,15,16,18,22,23,25
3539 - 01,02,07,08,09,11,12,13,14,16,18,19,20,23,24
3538 - 02,03,05,08,09,10,13,14,17,19,20,21,22,24,25
3537 - 01,02,03,04,07,09,10,12,15,19,20,21,22,24,25
3536 - 01,03,04,06,07,08,09,10,11,15,16,17,18,22,24
3535 - 02,03,06,07,08,09,11,13,18,19,20,21,22,24,25
3534 - 01,03,07,09,11,12,13,14,15,16,17,19,20,21,22
3533 - 01,03,05,06,08,11,12,13,14,15,19,20,22,23,25
3532 - 02,03,04,05,06,07,08,10,11,12,14,15,17,23,25
3531 - 01,03,04,05,07,08,10,11,12,14,15,16,18,19,22
3530 - 01,02,03,05,07,11,12,13,15,16,20,22,23,24,25
3529 - 01,07,08,10,11,12,14,15,16,17,18,19,20,22,24
3528 - 01,03,05,06,07,09,10,16,18,19,20,22,23,24,25
3527 - 02,03,04,06,07,09,13,14,15,16,17,19,20,23,24
3526 - 01,03,07,08,10,12,14,15,17,18,19,20,21,22,23
3525 - 01,02,03,07,10,11,14,15,16,17,18,20,21,23,24
3524 - 02,03,04,05,07,09,12,13,14,15,16,17,18,22,24
3523 - 05,06,08,09,10,11,12,14,15,16,17,19,23,24,25
3522 - 01,02,04,05,07,08,10,11,12,14,15,17,20,22,24
3521 - 06,07,08,09,10,11,12,13,14,15,19,20,21,22,23
3520 - 01,03,07,08,10,12,13,15,16,18,19,20,21,22,23
3519 - 04,05,06,07,08,13,14,16,17,18,20,21,22,23,25
3518 - 02,05,06,07,11,12,13,14,16,17,19,21,22,24,25
3517 - 01,02,03,07,08,11,12,14,17,18,19,20,21,22,24
3516 - 02,03,06,11,12,13,14,15,17,18,19,20,21,23,25
3515 - 01,02,03,04,05,06,07,09,14,15,16,17,21,23,24
3514 - 01,03,04,05,06,08,10,12,13,16,17,20,21,23,24
3513 - 03,04,05,06,07,11,13,14,15,16,18,20,22,23,24
3512 - 01,02,03,04,05,06,09,12,13,14,15,17,19,20,22
3511 - 02,03,05,06,07,08,09,12,13,14,15,19,20,23,24
3510 - 01,02,03,04,05,06,07,08,13,14,15,17,21,22,23
3509 - 01,03,04,07,09,10,12,14,15,16,19,21,22,24,25
3508 - 01,03,04,05,06,08,11,13,14,16,17,20,21,22,24
3507 - 02,03,04,07,09,10,11,12,17,18,19,21,22,24,25
3506 - 03,04,05,06,08,11,12,13,16,17,18,22,23,24,25
3505 - 01,02,03,04,06,07,08,09,11,14,16,20,21,23,25
3504 - 01,02,04,06,07,09,10,12,15,16,17,21,22,23,25
3503 - 01,04,06,07,08,10,11,12,14,15,16,18,21,24,25
3502 - 04,05,06,07,08,09,14,15,16,17,18,19,20,21,25
3501 - 01,03,07,09,11,12,13,15,16,18,19,20,21,22,24
3500 - 01,02,04,05,06,07,09,10,11,12,14,16,18,19,21
3499 - 01,05,07,09,10,11,12,13,14,17,18,19,23,24,25
3498 - 01,02,03,04,05,07,08,09,15,16,17,19,21,22,24
3497 - 01,02,03,04,06,10,11,12,13,14,15,18,19,21,25
3496 - 01,04,05,08,09,11,13,14,15,16,17,18,20,23,24
3495 - 02,03,06,08,09,11,12,15,16,18,19,20,22,23,25
3494 - 01,04,09,10,11,12,14,15,16,17,19,21,22,24,25
3493 - 02,03,04,05,06,10,11,13,15,16,19,20,21,23,24
3492 - 02,03,04,08,09,10,13,17,18,19,20,21,22,23,25
3491 - 01,02,04,08,09,10,12,13,15,17,21,22,23,24,25
3490 - 02,03,04,07,08,11,13,14,15,16,18,19,21,23,25
3489 - 01,02,05,08,09,11,14,16,17,20,21,22,23,24,25
3488 - 01,03,04,05,06,08,09,11,12,13,14,15,17,22,25
3487 - 02,04,05,07,10,12,13,15,16,17,18,19,21,22,23
3486 - 02,06,07,08,09,10,11,12,16,17,18,19,22,24,25
3485 - 02,03,04,05,06,09,10,11,12,13,15,18,20,22,25
3484 - 01,03,04,05,07,08,09,11,13,14,15,17,23,24,25
3483 - 02,04,07,08,09,12,13,14,15,17,18,20,22,24,25
3482 - 01,02,04,05,09,10,13,14,15,17,19,20,22,24,25
3481 - 01,02,03,04,05,07,09,10,13,14,19,21,22,23,24
3480 - 03,05,06,08,09,12,13,14,15,16,17,20,21,22,23
3479 - 01,05,06,08,09,10,12,13,15,16,18,19,23,24,25
3478 - 01,04,05,06,07,08,09,10,12,14,15,17,21,22,24
